timestamp,bt_navigator,amcl,map_server,controller_server,smoother_server,planner_server,behavior_server,velocity_smoother
2025-06-20T19:27:53.194904,15.0,8.0,6.0,10.0,7.0,10.0,10.0,6.0
2025-06-20T19:27:54.196013,14.0,8.0,5.0,9.0,8.0,9.0,9.0,5.0
2025-06-20T19:27:55.196774,15.0,7.0,5.0,10.0,7.0,10.0,10.0,5.0
2025-06-20T19:27:56.197430,15.0,8.0,6.0,10.0,8.0,10.0,10.0,5.0
2025-06-20T19:27:57.198193,16.0,8.0,6.0,11.0,8.0,10.0,9.0,7.0
2025-06-20T19:27:58.198726,15.0,8.0,4.0,11.0,7.0,10.0,10.0,6.0
2025-06-20T19:27:59.199526,17.0,8.0,5.0,11.0,7.0,10.0,9.0,5.0
2025-06-20T19:28:00.200839,16.0,8.0,6.0,12.0,8.0,11.0,10.0,7.0
2025-06-20T19:28:01.201481,17.0,8.0,5.0,11.0,7.0,10.0,9.0,5.0
2025-06-20T19:28:02.202377,15.0,8.0,5.0,10.0,8.0,10.0,9.0,6.0
2025-06-20T19:28:03.203143,17.0,7.0,5.0,10.0,7.0,10.0,9.0,6.0
2025-06-20T19:28:04.204421,15.0,7.0,5.0,11.0,6.0,9.0,8.0,6.0
2025-06-20T19:28:05.205012,16.0,8.0,6.0,10.0,8.0,10.0,10.0,6.0
2025-06-20T19:28:06.207101,17.0,8.0,5.0,12.0,7.0,9.0,8.0,5.0
2025-06-20T19:28:07.207834,15.0,8.0,5.0,11.0,7.0,11.0,10.0,6.0
2025-06-20T19:28:08.208315,16.0,8.0,5.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T19:28:09.208881,17.0,7.0,6.0,11.0,8.0,9.0,10.0,6.0
2025-06-20T19:28:10.211293,15.0,8.0,5.0,11.0,7.0,11.0,9.0,6.0
2025-06-20T19:28:11.211818,16.0,9.0,5.0,11.0,8.0,10.0,10.0,6.0
2025-06-20T19:28:12.212334,17.0,7.0,6.0,10.0,7.0,10.0,9.0,7.0
2025-06-20T19:28:13.214353,16.0,8.0,5.0,12.0,8.0,10.0,9.0,5.0
2025-06-20T19:28:14.215533,16.0,9.0,5.0,11.0,7.0,11.0,10.0,6.0
