timestamp,smoother_server,bt_navigator,map_server,amcl,controller_server,planner_server,behavior_server,velocity_smoother
2025-06-18T16:13:01.087842,6.0,18.0,6.0,8.0,21.0,10.0,9.0,5.0
2025-06-18T16:13:02.088978,9.0,17.0,5.0,8.0,22.0,10.0,9.0,7.0
2025-06-18T16:13:03.090393,6.0,18.0,5.0,8.0,21.0,10.0,9.0,6.0
2025-06-18T16:13:04.092329,8.0,17.0,6.0,8.0,21.0,10.0,9.0,6.0
2025-06-18T16:13:05.094589,7.0,18.0,5.0,8.0,22.0,10.0,10.0,6.0
2025-06-18T16:13:06.095264,7.0,17.0,5.0,7.0,22.0,11.0,10.0,6.0
2025-06-18T16:13:07.096970,7.0,18.0,5.0,9.0,21.0,11.0,9.0,5.0
2025-06-18T16:13:08.098902,8.0,17.0,6.0,8.0,20.9,10.0,10.0,6.0
2025-06-18T16:13:09.101978,8.0,17.9,5.0,7.0,21.9,9.9,9.9,6.0
2025-06-18T16:13:10.107437,6.0,15.9,6.0,9.0,21.9,10.0,8.0,7.0
2025-06-18T16:13:11.108352,8.0,18.0,5.0,8.0,21.0,10.0,10.0,5.0
2025-06-18T16:13:12.109088,7.0,17.0,4.0,8.0,21.0,10.0,9.0,6.0
2025-06-18T16:13:13.111144,7.0,17.9,6.0,7.0,20.9,10.0,9.0,6.0
2025-06-18T16:13:14.114485,7.0,15.9,5.0,9.0,21.9,10.0,10.0,5.0
2025-06-18T16:13:15.116393,8.0,17.0,6.0,8.0,20.0,11.0,9.0,7.0
2025-06-18T16:13:16.120076,7.0,16.9,5.0,8.0,21.9,10.0,10.0,5.0
2025-06-18T16:13:17.121937,7.0,18.0,5.0,8.0,21.0,10.0,9.0,7.0
2025-06-18T16:13:18.122486,8.0,18.0,5.0,8.0,22.0,11.0,9.0,5.0
2025-06-18T16:13:19.122958,7.0,17.0,5.0,8.0,21.0,10.0,10.0,6.0
2025-06-18T16:13:20.123777,7.0,17.0,6.0,8.0,21.0,10.0,8.0,6.0
2025-06-18T16:13:21.125905,7.0,17.0,5.0,8.0,21.0,10.0,10.0,6.0
2025-06-18T16:13:22.127296,8.0,17.0,5.0,8.0,22.0,10.0,9.0,6.0
2025-06-18T16:13:23.128695,7.0,17.9,6.0,9.0,21.9,11.0,10.0,6.0
2025-06-18T16:13:24.130676,8.0,17.0,5.0,7.0,21.0,10.0,10.0,6.0
2025-06-18T16:13:25.131288,6.0,17.0,5.0,9.0,22.0,11.0,9.0,5.0
2025-06-18T16:13:26.131869,8.0,17.0,5.0,7.0,21.0,10.0,9.0,7.0
2025-06-18T16:13:27.132654,7.0,18.0,6.0,9.0,21.0,9.0,9.0,5.0
2025-06-18T16:13:28.133302,8.0,16.0,5.0,8.0,21.0,10.0,9.0,6.0
2025-06-18T16:13:29.135271,7.0,18.0,5.0,8.0,22.0,12.0,10.0,5.0
2025-06-18T16:13:30.137694,8.0,17.0,6.0,8.0,20.9,9.0,9.0,7.0
2025-06-18T16:13:31.140087,6.0,17.0,5.0,9.0,21.9,11.0,10.0,6.0
2025-06-18T16:13:32.143117,8.0,16.9,5.0,8.0,21.0,10.0,9.0,5.0
2025-06-18T16:13:33.143623,8.0,17.0,5.0,8.0,20.0,9.0,9.0,6.0
2025-06-18T16:13:34.144845,7.0,16.0,5.0,9.0,21.0,10.0,9.0,6.0
2025-06-18T16:13:35.146553,7.0,18.0,5.0,8.0,21.0,11.0,10.0,6.0
2025-06-18T16:13:36.148102,8.0,17.0,6.0,8.0,22.0,11.0,10.0,5.0
2025-06-18T16:13:37.151138,7.0,16.0,5.0,8.0,20.9,10.0,9.0,6.0
2025-06-18T16:13:38.151663,7.0,17.0,5.0,7.0,21.0,10.0,9.0,6.0
2025-06-18T16:13:39.152356,7.0,17.0,6.0,10.0,21.0,10.0,10.0,6.0
2025-06-18T16:13:40.153107,8.0,18.0,5.0,7.0,22.0,11.0,9.0,6.0
2025-06-18T16:13:41.153917,7.0,16.0,5.0,9.0,22.0,10.0,10.0,6.0
2025-06-18T16:13:42.154930,8.0,17.0,5.0,8.0,20.0,10.0,9.0,6.0
2025-06-18T16:13:43.156122,6.0,17.0,6.0,8.0,22.0,10.0,9.0,6.0
2025-06-18T16:13:44.157584,8.0,17.0,5.0,8.0,21.0,10.0,9.0,6.0
2025-06-18T16:13:45.158182,7.0,17.0,5.0,8.0,21.0,10.0,9.0,6.0
2025-06-18T16:13:46.158641,7.0,17.0,5.0,8.0,22.0,10.0,10.0,6.0
2025-06-18T16:13:47.159286,8.0,17.0,6.0,8.0,21.0,10.0,9.0,6.0
2025-06-18T16:13:48.162737,7.0,16.9,5.0,9.0,20.9,10.0,9.0,5.0
2025-06-18T16:13:49.164554,7.0,17.0,5.0,7.0,20.0,10.0,9.0,6.0
2025-06-18T16:13:50.165104,8.0,18.0,5.0,9.0,22.0,10.0,9.0,7.0
2025-06-18T16:13:51.165639,7.0,17.0,5.0,7.0,21.0,10.0,10.0,5.0
2025-06-18T16:13:52.166321,7.0,17.0,5.0,8.0,21.0,11.0,10.0,6.0
2025-06-18T16:13:53.170793,8.0,17.9,6.0,8.0,21.9,10.0,9.0,6.0
2025-06-18T16:13:54.171404,7.0,16.0,5.0,9.0,20.0,10.0,9.0,6.0
2025-06-18T16:13:55.172322,6.0,17.0,5.0,8.0,22.0,10.0,9.0,5.0
2025-06-18T16:13:56.173443,9.0,18.0,5.0,9.0,21.0,11.0,10.0,6.0
2025-06-18T16:13:57.174140,7.0,16.0,5.0,8.0,21.0,9.0,9.0,6.0
2025-06-18T16:13:58.174812,7.0,16.0,6.0,7.0,21.0,11.0,9.0,5.0
2025-06-18T16:13:59.175278,7.0,17.0,5.0,10.0,21.0,10.0,9.0,7.0
2025-06-18T16:14:00.175782,7.0,18.0,5.0,7.0,21.0,10.0,10.0,5.0
2025-06-18T16:14:01.176269,7.0,16.0,5.0,8.0,21.0,10.0,9.0,6.0
2025-06-18T16:14:02.176855,8.0,17.0,6.0,8.0,22.0,10.0,10.0,6.0
2025-06-18T16:14:03.178247,7.0,17.0,6.0,8.0,20.9,11.0,9.0,6.0
2025-06-18T16:14:04.180560,7.0,17.0,5.0,9.0,21.0,10.0,10.0,5.0
2025-06-18T16:14:05.183654,8.0,16.9,5.0,8.0,20.9,10.0,9.0,7.0
2025-06-18T16:14:06.184513,7.0,16.0,5.0,9.0,22.0,10.0,9.0,6.0
2025-06-18T16:14:07.185083,8.0,17.0,4.0,7.0,20.0,11.0,9.0,6.0
2025-06-18T16:14:08.187519,7.0,17.0,6.0,9.0,21.9,10.0,10.0,5.0
2025-06-18T16:14:09.188772,6.0,16.0,6.0,8.0,21.0,9.0,10.0,6.0
2025-06-18T16:14:10.191641,8.0,17.9,5.0,8.0,20.9,10.0,9.0,6.0
2025-06-18T16:14:11.192396,8.0,17.0,5.0,8.0,21.0,10.0,9.0,6.0
2025-06-18T16:14:12.193595,7.0,16.0,5.0,9.0,22.0,11.0,10.0,6.0
2025-06-18T16:14:13.194595,7.0,17.0,5.0,8.0,21.0,10.0,8.0,5.0
2025-06-18T16:14:14.195431,8.0,17.0,5.0,8.0,21.0,11.0,10.0,7.0
2025-06-18T16:14:15.198616,7.0,16.9,6.0,9.0,20.9,10.0,9.0,5.0
2025-06-18T16:14:16.202347,8.0,15.9,5.0,8.0,20.9,11.0,10.0,6.0
2025-06-18T16:14:17.204476,7.0,17.0,5.0,8.0,22.0,8.0,8.0,6.0
2025-06-18T16:14:18.206141,6.0,16.0,5.0,8.0,21.0,11.0,9.0,5.0
2025-06-18T16:14:19.207380,8.0,17.0,6.0,7.0,20.0,10.0,10.0,6.0
2025-06-18T16:14:20.209467,7.0,17.0,5.0,9.0,22.0,10.0,9.0,7.0
2025-06-18T16:14:21.210054,7.0,17.0,5.0,8.0,21.0,10.0,10.0,6.0
2025-06-18T16:14:22.210978,7.0,17.0,6.0,9.0,21.0,10.0,9.0,5.0
2025-06-18T16:14:23.211729,8.0,17.0,4.0,8.0,21.0,11.0,10.0,6.0
2025-06-18T16:14:24.213028,7.0,16.0,5.0,9.0,21.0,10.0,9.0,6.0
2025-06-18T16:14:25.214208,7.0,16.0,6.0,8.0,22.0,10.0,9.0,6.0
2025-06-18T16:14:26.214702,7.0,17.0,6.0,8.0,20.0,11.0,9.0,6.0
