timestamp,amcl,map_server,controller_server,smoother_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-06T16:14:35.575233,8.0,5.0,19.0,7.0,11.0,10.0,16.0,6.0
2025-06-06T16:14:36.576082,9.0,6.0,18.0,7.0,10.0,9.0,17.0,6.0
2025-06-06T16:14:37.576692,8.0,4.0,18.0,7.0,10.0,9.0,16.0,5.0
2025-06-06T16:14:38.577318,8.0,6.0,19.0,7.0,10.0,9.0,17.0,6.0
2025-06-06T16:14:39.577774,8.0,5.0,17.0,8.0,11.0,10.0,16.0,6.0
2025-06-06T16:14:40.578771,8.0,5.0,19.0,6.0,10.0,9.0,17.0,6.0
2025-06-06T16:14:41.580243,8.0,6.0,17.9,7.0,11.0,10.0,16.0,5.0
2025-06-06T16:14:42.582838,8.0,4.0,18.0,7.0,9.0,9.0,16.0,6.0
2025-06-06T16:14:43.583783,8.0,5.0,19.0,8.0,11.0,9.0,17.0,6.0
2025-06-06T16:14:44.585073,8.0,6.0,18.0,7.0,10.0,11.0,17.0,6.0
2025-06-06T16:14:45.586306,9.0,5.0,18.0,8.0,11.0,9.0,17.0,6.0
2025-06-06T16:14:46.588112,7.0,5.0,18.0,7.0,10.0,9.0,17.0,5.0
2025-06-06T16:14:47.589093,8.0,6.0,17.0,6.0,10.0,10.0,16.0,6.0
2025-06-06T16:14:48.591371,8.0,5.0,19.0,8.0,11.0,10.0,17.0,7.0
2025-06-06T16:14:49.592027,8.0,5.0,17.0,7.0,10.0,9.0,16.0,5.0
2025-06-06T16:14:50.592705,9.0,5.0,19.0,7.0,10.0,10.0,16.0,6.0
2025-06-06T16:14:51.594568,7.0,5.0,18.0,7.0,11.0,9.0,17.0,5.0
2025-06-06T16:14:52.595185,8.0,5.0,17.0,8.0,9.0,9.0,17.0,7.0
2025-06-06T16:14:53.595597,8.0,5.0,18.0,7.0,10.0,9.0,16.0,5.0
2025-06-06T16:14:54.596034,8.0,5.0,18.0,6.0,10.0,9.0,16.0,6.0
2025-06-06T16:14:55.597788,7.0,5.0,17.0,6.0,9.0,8.0,16.0,5.0
2025-06-06T16:14:56.598706,7.0,6.0,17.9,7.0,9.0,8.0,16.0,6.0
2025-06-06T16:14:57.601932,9.0,5.0,18.0,7.0,11.0,10.0,17.0,6.0
2025-06-06T16:14:58.603411,7.0,5.0,17.0,8.0,9.0,9.0,16.0,5.0
2025-06-06T16:14:59.603968,8.0,4.0,19.0,6.0,11.0,9.0,17.0,6.0
2025-06-06T16:15:00.604543,9.0,6.0,17.0,7.0,10.0,10.0,16.0,6.0
2025-06-06T16:15:01.605120,7.0,4.0,18.0,8.0,10.0,9.0,17.0,6.0
2025-06-06T16:15:02.605642,8.0,6.0,18.0,7.0,11.0,9.0,16.0,6.0
2025-06-06T16:15:03.606642,8.0,5.0,18.0,7.0,9.0,10.0,16.0,6.0
2025-06-06T16:15:04.607576,7.0,5.0,18.0,6.0,11.0,9.0,17.0,5.0
2025-06-06T16:15:05.610796,8.0,5.0,16.9,8.0,10.0,10.0,15.9,6.0
2025-06-06T16:15:06.613495,9.0,6.0,18.0,7.0,10.0,8.0,16.0,6.0
2025-06-06T16:15:07.614513,7.0,4.0,18.0,7.0,10.0,10.0,16.0,5.0
2025-06-06T16:15:08.618757,9.0,5.0,16.9,7.0,10.0,9.0,15.9,6.0
2025-06-06T16:15:09.619912,7.0,6.0,19.0,8.0,10.0,10.0,16.0,6.0
2025-06-06T16:15:10.620515,8.0,4.0,16.0,6.0,10.0,8.0,16.0,5.0
2025-06-06T16:15:11.621178,7.0,6.0,18.0,7.0,10.0,9.0,16.0,6.0
2025-06-06T16:15:12.622712,9.0,5.0,18.0,7.0,10.0,10.0,17.0,6.0
2025-06-06T16:15:13.624999,7.0,4.0,18.0,7.0,11.0,9.0,16.0,5.0
2025-06-06T16:15:14.625674,8.0,6.0,17.0,7.0,9.0,10.0,16.0,6.0
2025-06-06T16:15:15.626296,8.0,5.0,19.0,7.0,11.0,9.0,16.0,6.0
2025-06-06T16:15:16.628501,8.0,5.0,17.0,7.0,9.0,9.0,16.0,6.0
2025-06-06T16:15:17.629280,8.0,5.0,19.0,7.0,11.0,10.0,17.0,6.0
2025-06-06T16:15:18.629861,8.0,6.0,18.0,7.0,10.0,9.0,16.0,5.0
2025-06-06T16:15:19.630401,8.0,5.0,18.0,7.0,9.0,9.0,16.0,6.0
2025-06-06T16:15:20.632328,8.0,5.0,17.0,7.0,10.0,10.0,15.9,6.0
2025-06-06T16:15:21.635492,9.0,5.0,18.9,8.0,10.0,9.0,16.0,6.0
2025-06-06T16:15:22.636307,6.0,5.0,17.0,6.0,11.0,9.0,17.0,5.0
2025-06-06T16:15:23.637388,9.0,5.0,18.0,8.0,10.0,9.0,16.0,6.0
2025-06-06T16:15:24.637979,8.0,5.0,17.0,7.0,10.0,10.0,16.0,6.0
2025-06-06T16:15:25.638590,9.0,5.0,19.0,6.0,9.0,9.0,16.0,5.0
2025-06-06T16:15:26.639790,7.0,6.0,18.0,8.0,11.0,9.0,16.0,6.0
