timestamp,smoother_server,map_server,amcl,controller_server,planner_server,behavior_server,bt_navigator,velocity_smoother
2025-06-18T02:09:07.209130,7.0,5.0,8.0,12.0,10.0,10.0,16.0,5.0
2025-06-18T02:09:08.209666,8.0,5.0,8.0,10.0,10.0,9.0,16.0,6.0
2025-06-18T02:09:09.210824,6.0,5.0,8.0,11.0,10.0,9.0,16.0,5.0
2025-06-18T02:09:10.211342,8.0,6.0,8.0,11.0,9.0,9.0,16.0,6.0
2025-06-18T02:09:11.211983,7.0,4.0,8.0,10.0,11.0,9.0,17.0,5.0
2025-06-18T02:09:12.212667,7.0,5.0,8.0,11.0,10.0,9.0,16.0,6.0
2025-06-18T02:09:13.213342,7.0,5.0,8.0,12.0,10.0,9.0,17.0,6.0
2025-06-18T02:09:14.213927,6.0,5.0,7.0,9.0,8.0,8.0,15.0,5.0
2025-06-18T02:09:15.215782,7.0,5.0,7.0,11.0,11.0,9.0,17.0,5.0
2025-06-18T02:09:16.216933,8.0,5.0,9.0,11.0,10.0,9.0,16.0,7.0
2025-06-18T02:09:17.218698,7.0,6.0,7.0,11.0,9.0,10.0,17.0,6.0
2025-06-18T02:09:18.219278,7.0,5.0,9.0,12.0,12.0,9.0,17.0,5.0
2025-06-18T02:09:19.219851,8.0,5.0,8.0,11.0,9.0,10.0,17.0,6.0
2025-06-18T02:09:20.222832,7.0,5.0,8.0,11.0,10.0,9.0,16.0,5.0
2025-06-18T02:09:21.223390,7.0,5.0,7.0,11.0,11.0,9.0,16.0,6.0
2025-06-18T02:09:22.224691,8.0,6.0,10.0,12.0,9.0,10.0,17.0,6.0
2025-06-18T02:09:23.226383,7.0,5.0,7.0,10.0,11.0,10.0,16.0,6.0
2025-06-18T02:09:24.226841,7.0,4.0,7.0,12.0,9.0,8.0,16.0,5.0
2025-06-18T02:09:25.227305,7.0,6.0,9.0,11.0,10.0,9.0,16.0,6.0
2025-06-18T02:09:26.229532,7.0,5.0,7.0,9.0,11.0,10.0,16.0,5.0
2025-06-18T02:09:27.230060,7.0,5.0,8.0,11.0,9.0,8.0,15.0,6.0
2025-06-18T02:09:28.230474,8.0,5.0,8.0,12.0,10.0,11.0,17.0,5.0
